epoch,calculate_psnr,calculate_ssim,loss,val_calculate_psnr,val_calculate_ssim,val_loss
0,11.35390567779541,0.19768734276294708,0.09615158289670944,8.275632858276367,0.08985959738492966,0.168907031416893
1,11.378539085388184,0.21412917971611023,0.09238480776548386,8.796745300292969,0.08879165351390839,0.1501758098602295
2,11.382762908935547,0.21905586123466492,0.08951791375875473,9.183080673217773,0.09056251496076584,0.1364482045173645
3,11.385550498962402,0.22167788445949554,0.08720790594816208,9.233465194702148,0.08908636122941971,0.13332825899124146
4,11.387067794799805,0.22320808470249176,0.08536506444215775,9.391414642333984,0.0899599939584732,0.12725286185741425
5,11.388346672058105,0.22436699271202087,0.0838773176074028,9.420581817626953,0.0888793021440506,0.1252354383468628
6,11.38942813873291,0.22527723014354706,0.08266593515872955,9.544611930847168,0.09016932547092438,0.1207403764128685
7,11.390210151672363,0.2260989099740982,0.08167112618684769,9.583491325378418,0.08964864909648895,0.1188606321811676
8,11.390982627868652,0.22654052078723907,0.08084124326705933,9.66895580291748,0.09073285013437271,0.1158369928598404
9,11.391816139221191,0.2271210104227066,0.08014188706874847,9.718767166137695,0.09083271026611328,0.11392387002706528
10,11.392329216003418,0.22757446765899658,0.07955062389373779,9.786473274230957,0.09174279123544693,0.11163253337144852
11,11.392679214477539,0.2279263138771057,0.07904765754938126,9.8451566696167,0.0924312174320221,0.10968101024627686
12,11.393205642700195,0.2283538430929184,0.07861384004354477,9.901936531066895,0.0933109000325203,0.10785047709941864
13,11.393802642822266,0.22864630818367004,0.0782352164387703,9.946357727050781,0.09389680624008179,0.10640192031860352
14,11.394152641296387,0.22884315252304077,0.07791074365377426,9.998908042907715,0.09487389028072357,0.104804128408432
15,11.394497871398926,0.22907370328903198,0.07762730866670609,10.034652709960938,0.09547021985054016,0.103670634329319
16,11.394857406616211,0.22930485010147095,0.07737737149000168,10.082056999206543,0.09650790691375732,0.10229029506444931
17,11.3952054977417,0.2295445054769516,0.07715924084186554,10.123774528503418,0.09751296788454056,0.10108225792646408
18,11.395608901977539,0.22964809834957123,0.07696719467639923,10.161884307861328,0.09847018867731094,0.0999913215637207
19,11.395669937133789,0.2298593372106552,0.07679962366819382,10.195873260498047,0.09944479912519455,0.09902491420507431
